accx,accy,accz
-0.001,1.0041,0.0499
0.0001,1.0053,0.0487
-0.0017,1.0049,0.0492
-0.0017,1.0049,0.0492
-0.0015,1.0046,0.0494
0,1.0056,0.0485
-0.0015,1.0046,0.0494
0.0001,1.0053,0.0487
-0.001,1.0041,0.0499
0.0003,1.0051,0.0489
-0.001,1.0041,0.0499
0,1.0056,0.0485
-0.0017,1.0049,0.0492
-0.0017,1.0049,0.0492
0.0003,1.0051,0.0489
-0.0005,1.0037,0.0504
0,1.0056,0.0485
-0.0017,1.0049,0.0492
-0.0005,1.0037,0.0504
0.0001,1.0053,0.0487
-0.0015,1.0046,0.0494
0,1.0056,0.0485
-0.0005,1.0037,0.0504
